ticker,company_name
4151.T,協和キリン（株）
4502.T,武田薬品工業（株）
4503.T,アステラス製薬（株）
4506.T,住友ファーマ（株）
4507.T,塩野義製薬（株）
4519.T,中外製薬（株）
4523.T,エーザイ（株）
4568.T,第一三共（株）
4578.T,大塚ホールディングス（株）
4062.T,イビデン（株）
6479.T,ミネベアミツミ（株）
6501.T,（株）日立製作所
6503.T,三菱電機（株）
6504.T,富士電機（株）
6506.T,（株）安川電機
6526.T,（株）ソシオネクスト
6645.T,オムロン（株）
6674.T,（株）ジーエス・ユアサ　コーポレーション
6701.T,日本電気（株）
6702.T,富士通（株）
6723.T,ルネサスエレクトロニクス（株）
6724.T,セイコーエプソン（株）
6752.T,パナソニック　ホールディングス（株）
6753.T,シャープ（株）
6758.T,ソニーグループ（株）
6762.T,ＴＤＫ（株）
6770.T,アルプスアルパイン（株）
6841.T,横河電機（株）
6857.T,（株）アドバンテスト
6861.T,（株）キーエンス
6902.T,（株）デンソー
6920.T,レーザーテック（株）
6952.T,カシオ計算機（株）
6954.T,ファナック（株）
6963.T,ローム（株）
6971.T,京セラ（株）
6976.T,太陽誘電（株）
6981.T,（株）村田製作所
7735.T,（株）ＳＣＲＥＥＮホールディングス
7751.T,キヤノン（株）
7752.T,（株）リコー
8035.T,東京エレクトロン（株）
7201.T,日産自動車（株）
7202.T,いすゞ自動車（株）
7203.T,トヨタ自動車（株）
7205.T,日野自動車（株）
7211.T,三菱自動車工業（株）
7261.T,マツダ（株）
7267.T,本田技研工業（株）
7269.T,スズキ（株）
7270.T,（株）ＳＵＢＡＲＵ
7272.T,ヤマハ発動機（株）
4543.T,テルモ（株）
4902.T,コニカミノルタ（株）
6146.T,（株）ディスコ
7731.T,（株）ニコン
7733.T,オリンパス（株）
7741.T,ＨＯＹＡ（株）
9432.T,ＮＴＴ（株）
9433.T,KDDI（株）
9434.T,ソフトバンク（株）
9984.T,ソフトバンクグループ（株）
5831.T,（株）しずおかフィナンシャルグループ
7186.T,（株）横浜フィナンシャルグループ
8304.T,（株）あおぞら銀行
8306.T,（株）三菱ＵＦＪフィナンシャル・グループ
8308.T,（株）りそなホールディングス
8309.T,三井住友トラストグループ（株）
8316.T,（株）三井住友フィナンシャルグループ
8331.T,（株）千葉銀行
8354.T,（株）ふくおかフィナンシャルグループ
8411.T,（株）みずほフィナンシャルグループ
8253.T,（株）クレディセゾン
8591.T,オリックス（株）
8697.T,（株）日本取引所グループ
8601.T,（株）大和証券グループ本社
8604.T,野村ホールディングス（株）
8630.T,SOMPOホールディングス（株）
8725.T,MS&ADインシュアランスグループホールディングス（株）
8750.T,第一生命ホールディングス（株）
8766.T,東京海上ホールディングス（株）
8795.T,（株）Ｔ＆Ｄホールディングス
1332.T,（株）ニッスイ
2002.T,（株）日清製粉グループ本社
2269.T,明治ホールディングス（株）
2282.T,日本ハム（株）
2501.T,サッポロホールディングス（株）
2502.T,アサヒグループホールディングス（株）
2503.T,キリンホールディングス（株）
2801.T,キッコーマン（株）
2802.T,味の素（株）
2871.T,（株）ニチレイ
2914.T,日本たばこ産業（株）
3086.T,J.フロント　リテイリング（株）
3092.T,（株）ＺＯＺＯ
3099.T,（株）三越伊勢丹ホールディングス
3382.T,（株）セブン＆アイ・ホールディングス
7453.T,（株）良品計画
8233.T,（株）高島屋
8252.T,（株）丸井グループ
8267.T,イオン（株）
9843.T,（株）ニトリホールディングス
9983.T,（株）ファーストリテイリング
2413.T,エムスリー（株）
2432.T,（株）ディー・エヌ・エー
3659.T,（株）ネクソン
3697.T,（株）ＳＨＩＦＴ
4307.T,（株）野村総合研究所
4324.T,（株）電通グループ
4385.T,（株）メルカリ
4661.T,（株）オリエンタルランド
4689.T,LINEヤフー（株）
4704.T,トレンドマイクロ（株）
4751.T,（株）サイバーエージェント
4755.T,楽天グループ（株）
6098.T,（株）リクルートホールディングス
6178.T,日本郵政（株）
6532.T,（株）ベイカレント
7974.T,任天堂（株）
9602.T,東宝（株）
9735.T,セコム（株）
9766.T,コナミグループ（株）
1605.T,（株）ＩＮＰＥＸ
3401.T,帝人（株）
3402.T,東レ（株）
3861.T,王子ホールディングス（株）
3405.T,（株）クラレ
3407.T,旭化成（株）
4004.T,（株）レゾナック・ホールディングス
4005.T,住友化学（株）
4021.T,日産化学（株）
4042.T,東ソー（株）
4043.T,（株）トクヤマ
4061.T,デンカ（株）
4063.T,信越化学工業（株）
4183.T,三井化学（株）
4188.T,三菱ケミカルグループ（株）
4208.T,ＵＢＥ（株）
4452.T,花王（株）
4901.T,富士フイルムホールディングス（株）
4911.T,（株）資生堂
6988.T,日東電工（株）
5019.T,出光興産（株）
5020.T,ＥＮＥＯＳホールディングス（株）
5101.T,横浜ゴム（株）
5108.T,（株）ブリヂストン
5201.T,ＡＧＣ（株）
5214.T,日本電気硝子（株）
5233.T,太平洋セメント（株）
5301.T,東海カーボン（株）
5332.T,TOTO（株）
5333.T,日本碍子（株）
5401.T,日本製鉄（株）
5406.T,（株）神戸製鋼所
5411.T,JFEホールディングス（株）
3436.T,（株）ＳＵＭＣＯ
5706.T,三井金属（株）
5711.T,三菱マテリアル（株）
5713.T,住友金属鉱山（株）
5714.T,DOWAホールディングス（株）
5801.T,古河電気工業（株）
5802.T,住友電気工業（株）
5803.T,（株）フジクラ
2768.T,双日（株）
8001.T,伊藤忠商事（株）
8002.T,丸紅（株）
8015.T,豊田通商（株）
8031.T,三井物産（株）
8053.T,住友商事（株）
8058.T,三菱商事（株）
1721.T,コムシスホールディングス（株）
1801.T,大成建設（株）
1802.T,（株）大林組
1803.T,清水建設（株）
1808.T,（株）長谷工コーポレーション
1812.T,鹿島建設（株）
1925.T,大和ハウス工業（株）
1928.T,積水ハウス（株）
1963.T,日揮ホールディングス（株）
5631.T,（株）日本製鋼所
6103.T,オークマ（株）
6113.T,（株）アマダ
6273.T,SMC（株）
6301.T,（株）小松製作所
6302.T,住友重機械工業（株）
6305.T,日立建機（株）
6326.T,（株）クボタ
6361.T,（株）荏原製作所
6367.T,ダイキン工業（株）
6471.T,日本精工（株）
6472.T,ＮＴＮ（株）
6473.T,（株）ジェイテクト
7004.T,カナデビア（株）
7011.T,三菱重工業（株）
7013.T,（株）ＩＨＩ
7012.T,川崎重工業（株）
7832.T,（株）バンダイナムコホールディングス
7911.T,Toppanホールディングス（株）
7912.T,大日本印刷（株）
7951.T,ヤマハ（株）
3289.T,東急不動産ホールディングス（株）
8801.T,三井不動産（株）
8802.T,三菱地所（株）
8804.T,東京建物（株）
8830.T,住友不動産（株）
9001.T,東武鉄道（株）
9005.T,東急（株）
9007.T,小田急電鉄（株）
9008.T,京王電鉄（株）
9009.T,京成電鉄（株）
9020.T,東日本旅客鉄道（株）
9021.T,西日本旅客鉄道（株）
9022.T,東海旅客鉄道（株）
9064.T,ヤマトホールディングス（株）
9147.T,NIPPON EXPRESSホールディングス（株）
9101.T,日本郵船（株）
9104.T,（株）商船三井
9107.T,川崎汽船（株）
9201.T,日本航空（株）
9202.T,ANAホールディングス（株）
9501.T,東京電力ホールディングス（株）
9502.T,中部電力（株）
9503.T,関西電力（株）
9531.T,東京瓦斯（株）
9532.T,大阪瓦斯（株）

